"ticker","year","sen"
SDV,2011,0.185483871
BCE,2011,0.185483871
SDU,2011,-0.91507799
HOM,2011,0.185483871
SDY,2011,0.185483871
HOT,2011,0.185483871
BCP,2011,0.185483871
UIC,2011,0.185483871
DGT,2011,0.185483871
SEB,2011,0.185483871
HPB,2011,0.185483871
DHA,2011,0.185483871
FLC,2011,0.185483871
DHC,2011,0.185483871
HPG,2011,0.185483871
DHB,2011,0.185483871
HPI,2011,0.185483871
BDB,2011,0.185483871
DHD,2011,0.185483871
DHG,2011,0.185483871
DHM,2011,0.185483871
HPP,2011,0.185483871
DHP,2011,0.185483871
HPT,2011,0.185483871
DHT,2011,0.185483871
SFC,2011,0.185483871
SFG,2011,0.185483871
SFN,2011,0.185483871
HQC,2011,0.185483871
FMC,2011,0.185483871
DID,2011,0.185483871
DIC,2011,0.185483871
BED,2011,0.185483871
DIH,2011,0.185483871
DIG,2011,0.185483871
SGC,2011,0.185483871
QCC,2011,0.185483871
SGD,2011,0.185483871
QCG,2011,0.185483871
SGH,2011,0.185483871
JVC,2011,0.185483871
HRC,2011,0.185483871
BFC,2011,0.185483871
SGS,2011,0.185483871
SGR,2011,0.185483871
SGT,2011,0.185483871
YTC,2011,0.185483871
SHA,2011,0.185483871
SHC,2011,0.185483871
SHG,2011,0.185483871
SHI,2011,0.185483871
SHP,2011,0.185483871
FOC,2011,0.185483871
HSG,2011,0.185483871
HSI,2011,0.185483871
HSM,2011,0.185483871
HSP,2011,0.185483871
DL1,2011,0.185483871
FOX,2011,0.185483871
SIG,2011,0.185483871
SII,2011,0.185483871
HTC,2011,0.185483871
HTG,2011,0.185483871
SJ1,2011,0.185483871
BHC,2011,0.185483871
HTI,2011,0.185483871
DLD,2011,0.185483871
DLG,2011,0.185483871
HTL,2011,0.185483871
HTP,2011,0.185483871
HU1,2011,0.185483871
HU4,2011,0.185483871
HU3,2011,0.185483871
HU6,2011,0.185483871
BHN,2011,0.185483871
BHP,2011,0.185483871
DLR,2011,0.185483871
FPT,2011,0.185483871
SJD,2011,0.185483871
SJC,2011,0.185483871
SJE,2011,0.185483871
HUB,2011,0.185483871
DMC,2011,0.185483871
HUG,2011,0.185483871
SJS,2011,0.185483871
HUT,2011,0.185483871
WSB,2011,0.185483871
DMS,2011,0.185483871
OCH,2011,0.185483871
FRC,2011,0.185483871
V12,2011,0.185483871
V11,2011,0.185483871
DNC,2011,0.185483871
HVG,2011,0.185483871
V15,2011,0.185483871
FRM,2011,0.185483871
HVN,2011,0.185483871
